id,atividade,tipo_atividade,data_prevista,responsavel_id,privado,concluida,created_by,created_at,updated_at
c16d690f-0bf8-49e2-bf5d-f8477f75a412,Comprar Kit Podcast,Melhoria,2026-06-30,472bde6c-6401-4581-a94b-5c335d1b9a6f,t,f,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-16 00:23:50.575339+00,2026-05-16 00:23:50.575339+00
b0e22d58-e398-490f-8f2c-50cf1fde6023,App: Colocar foto thumb na lista vendas,Outro,2026-05-22,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,f,d5b941b3-aa13-4916-af86-0774521710d4,2026-05-16 15:46:05.253074+00,2026-05-16 15:46:05.253074+00
8145c5c7-a693-4a19-ac82-85f55a222eac,Pintar frente loja de amarelo,Melhoria Loja,2026-07-31,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,f,f,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-16 00:24:25.206387+00,2026-05-16 20:12:55.77496+00
be830ca8-7d63-4f61-8fef-2a92d32a9318,Pintar loja interna,Melhoria Loja,2026-07-31,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,f,f,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-16 00:24:53.415686+00,2026-05-16 20:13:09.694088+00
e90ef89f-08eb-460b-bd95-09ba7465553a,Comprar impressora de qrcode,Compra,2026-07-31,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,f,f,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-16 00:25:20.298661+00,2026-05-16 20:13:19.216644+00
e4763973-1069-4afc-b544-91b32bea59e2,Criar controle fornecedores,Melhoria App,2026-06-30,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,f,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,2026-05-16 20:15:30.638333+00,2026-05-16 20:15:30.638333+00
b886561c-4637-493b-acab-73ac407e3ec4,App: adicionar preco sugerido e conferir o calculo,Outro,2026-05-22,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,t,d5b941b3-aa13-4916-af86-0774521710d4,2026-05-16 17:00:43.360668+00,2026-05-16 21:28:12.831509+00
0fe9b929-ac99-43cd-83f3-c12e55ae8cf7,App: Nao aparece campo de semi nova e usada o cadastro,Outro,2026-05-22,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,t,d5b941b3-aa13-4916-af86-0774521710d4,2026-05-16 15:42:05.914603+00,2026-05-16 21:28:16.349435+00
8d43de5e-a592-43c0-8e25-26683e371fc3,Gerar audit/log de todo whastapp no supa externo,Melhoria App,2026-05-31,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,t,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,2026-05-17 00:34:12.2849+00,2026-05-17 23:54:06.983905+00
859950ed-8bb5-4d35-b439-eb5571ab1f59,Comprar tablet para a loja,Melhoria Loja,2026-06-30,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,f,f,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-18 11:14:33.645213+00,2026-05-18 11:14:33.645213+00
14d157ee-50eb-40e2-a316-c01340edd058,Fecharmos contrato de serviço loja e André,Tarefa,2026-05-31,d5b941b3-aa13-4916-af86-0774521710d4,f,f,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-18 11:52:21.795121+00,2026-05-18 11:52:21.795121+00
ad78ef40-76ad-456c-8b4c-4314efe82af3,Criar perfil de depoimentos com Ia,Melhoria App,2026-05-29,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,f,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-18 16:43:33.537909+00,2026-05-18 16:43:33.537909+00
d7abe66c-129e-4d5f-b02a-16fae623b204,"Acrescentar no cadastro alem de bikes, componentes tambem",Ajuste App,2026-05-27,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,f,d5b941b3-aa13-4916-af86-0774521710d4,2026-05-22 17:13:23.334742+00,2026-05-22 17:13:23.334742+00
fb4c1fd5-4d51-4dee-8fef-d0a1e2ed88ae,Adicionar na forma de pagamento 2 ou mais opcoes,Melhoria App,2026-06-29,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,f,d5b941b3-aa13-4916-af86-0774521710d4,2026-05-22 19:03:35.868254+00,2026-05-22 19:03:35.868254+00
da23fac8-231c-4d3b-82b0-74a3acadedbe,App: Colocar busca endereco por CEP,Outro,2026-05-30,472bde6c-6401-4581-a94b-5c335d1b9a6f,f,t,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,2026-05-16 20:11:16.048934+00,2026-05-23 01:55:13.012509+00
fc24e690-1ea3-45ca-bfed-06bba160a47d,"Verificar clientes cadastrados que estao sem campos basicos (CPF, CELULAR e DATA ANIVERSARIO)",Tarefa,2026-05-22,d5b941b3-aa13-4916-af86-0774521710d4,f,t,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-18 00:01:07.521997+00,2026-05-23 14:14:44.747188+00
37baa1bf-fc5e-4de4-80f3-33f5a09112ec,Comprar etiqueta 6080,Compra,2026-05-22,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,f,t,d5b941b3-aa13-4916-af86-0774521710d4,2026-05-16 15:32:07.427688+00,2026-05-27 19:33:14.736151+00
3fbf4aa3-2188-4118-a9c4-93ab728cedea,Comprar Papel Higienico,Compra,2026-05-25,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,f,t,d5b941b3-aa13-4916-af86-0774521710d4,2026-05-18 17:06:35.740114+00,2026-05-27 19:33:35.704191+00
6797564e-2694-42d1-8181-c6d98e275bfa,Comprar passador absolute para bike vermelha,Tarefa,2026-06-29,d5b941b3-aa13-4916-af86-0774521710d4,f,f,15857cf4-b18d-471b-9d54-b18c3243fe24,2026-05-16 16:35:13.72381+00,2026-06-09 14:54:43.461468+00
db8e785e-6081-46e5-a5d0-ea874345894a,Cadastrar principais preces e detalhes no app preços,Tarefa,2026-06-15,d5b941b3-aa13-4916-af86-0774521710d4,f,t,472bde6c-6401-4581-a94b-5c335d1b9a6f,2026-05-16 19:05:51.309412+00,2026-06-09 14:55:32.094232+00
