pendencia_id,user_id,coins,created_at,updated_at
8145c5c7-a693-4a19-ac82-85f55a222eac,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,2,2026-05-16 00:39:15.056832+00,2026-05-16 00:39:16.635964+00
be830ca8-7d63-4f61-8fef-2a92d32a9318,fc215cb5-2f9c-4139-b4f2-518b003fa1c1,1,2026-05-16 00:39:18.425741+00,2026-05-16 00:39:18.425741+00
be830ca8-7d63-4f61-8fef-2a92d32a9318,d5b941b3-aa13-4916-af86-0774521710d4,1,2026-05-16 15:32:16.926157+00,2026-05-16 15:32:16.926157+00
8145c5c7-a693-4a19-ac82-85f55a222eac,15857cf4-b18d-471b-9d54-b18c3243fe24,3,2026-05-16 00:37:21.584971+00,2026-05-16 19:02:34.622528+00
37baa1bf-fc5e-4de4-80f3-33f5a09112ec,15857cf4-b18d-471b-9d54-b18c3243fe24,2,2026-05-16 19:02:39.715884+00,2026-05-16 19:02:40.995621+00
6797564e-2694-42d1-8181-c6d98e275bfa,15857cf4-b18d-471b-9d54-b18c3243fe24,3,2026-05-16 19:02:56.510648+00,2026-05-16 19:03:00.748844+00
37baa1bf-fc5e-4de4-80f3-33f5a09112ec,472bde6c-6401-4581-a94b-5c335d1b9a6f,3,2026-05-16 19:03:44.35615+00,2026-05-16 19:03:51.450232+00
8145c5c7-a693-4a19-ac82-85f55a222eac,472bde6c-6401-4581-a94b-5c335d1b9a6f,3,2026-05-16 19:03:53.23249+00,2026-05-16 19:03:55.613028+00
6797564e-2694-42d1-8181-c6d98e275bfa,472bde6c-6401-4581-a94b-5c335d1b9a6f,3,2026-05-16 19:03:59.286431+00,2026-05-16 19:04:02.471728+00
b886561c-4637-493b-acab-73ac407e3ec4,472bde6c-6401-4581-a94b-5c335d1b9a6f,3,2026-05-16 19:04:09.988931+00,2026-05-16 19:04:15.639151+00
0fe9b929-ac99-43cd-83f3-c12e55ae8cf7,472bde6c-6401-4581-a94b-5c335d1b9a6f,3,2026-05-16 19:04:20.991442+00,2026-05-16 19:04:26.582971+00
d7abe66c-129e-4d5f-b02a-16fae623b204,d5b941b3-aa13-4916-af86-0774521710d4,3,2026-05-23 14:56:29.792048+00,2026-05-23 14:56:36.609733+00
fb4c1fd5-4d51-4dee-8fef-d0a1e2ed88ae,d5b941b3-aa13-4916-af86-0774521710d4,3,2026-05-23 14:56:22.288785+00,2026-05-23 14:56:39.854586+00
